ID,OrgId,Title,URL,Categories,Element tag,Author,Organizationen,Publication Date
0060002,6,The Depth of the Problem,http://apps.washingtonpost.com/g/page/world/the-depth-of-the-problem/931/,灾害,illustration,,The Washington Post,
0060003,6,After the storm,https://www.washingtonpost.com/posttv/afterthestorm/#/something-was-different,灾害,"interactive, map",,The Washington Post,
0060004,6,‘A new kind of terrorism’ in Israel,https://www.washingtonpost.com/graphics/world/israel-palestine-deaths/#item65date10232015,政治,"interactive, timeline",,The Washington Post,
0060005,6,2015 police shootings investigation,https://www.washingtonpost.com/graphics/national/police-shootings-year-end/,政治,"interactive, map",,The Washington Post,
0060006,6,Mapping the census,http://www.washingtonpost.com/wp-srv/special/nation/census/2010/,政治,map,,The Washington Post,
0060007,6,"State of the Union: Obama's greatest hits",https://www.washingtonpost.com/graphics/politics/2016-sotu/speech/,政治,illustration,,The Washington Post,
0060008,6,How the growing web of conflict in Syria became a global problem,https://www.washingtonpost.com/graphics/world/explaining-the-syrian-conflict/,政治,"map, illustration",,The Washington Post,
0060009,6,History through the president’s words,https://www.washingtonpost.com/graphics/politics/2016-sotu/language/,政治,interactive,,The Washington Post,
0060010,6,What happens to your body during an ultramarathon,https://www.washingtonpost.com/graphics/health/ultramarathon/,生活,illustration,,The Washington Post,
0060011,6,Will this storm top Snowmageddon?,https://www.washingtonpost.com/graphics/local/2016-snow/how-much-has-it-snowed/,生活,illustration,,The Washington Post,
0120001,12,Mapping the Dead: Gun Deaths Since Sandy Hook,http://data.huffingtonpost.com/2013/03/gun-deaths,安全,"map, bubble, bar",,Huffington Post,
0120002,12,Oscar Predictions 2013,http://data.huffingtonpost.com/2013/01/oscar-predictions,文化,bar,,Huffington Post,
0120003,12,Relatives Of Vets Who Died By Suicide Tell Their Stories (AUDIO),http://www.huffingtonpost.com/2013/09/04/vets-suicide_n_3861728.html,安全按,multi-media,,Huffington Post,
0120004,12,Dying to be free,http://projects.huffingtonpost.com/dying-to-be-free-heroin-treatment,生活,multi-media,,Huffington Post,
0120005,12,Evicted and abandoned,http://projects.huffingtonpost.com/worldbank-evicted-abandoned,经济,multi-media,,Huffington Post,
0120006,12,Prisoners of profit,http://projects.huffingtonpost.com/prisoners-of-profit,经济,"multi-media, timeline",,Huffington Post,
0120007,12,House forcast,http://elections.huffingtonpost.com/2012/house-outlook,经济,multi-media,,Huffington Post,
0120008,12,"Hospice, Inc.",http://projects.huffingtonpost.com/hospice-inc,医疗,multi-media,,Huffington Post,
0030001,3,Election Party!,http://elections.npr.org/#,政治,real-time,,NPR,
0030002,3,Fire Forecast,http://apps.npr.org/fire-forecast/,灾害,map,,NPR,
0030003,3,Visualizing How A Population Grows To 7 Billion,http://www.npr.org/2011/10/31/141816460/visualizing-how-a-population-grows-to-7-billion,环境,multi-media,,NPR,
0030004,3,Playgrounds For Everyone,http://www.playgroundsforeveryone.com/,经济,map,,NPR,
0030005,3,Poisoned Places Map,http://www.npr.org/news/graphics/2011/10/toxic-air/#4.00/39.00/-84.00,灾害,"map, interactive",,NPR,
0030006,3,"Explore China's Global Reach",http://www.npr.org/2011/06/10/136930746/explore-chinas-global-reach,经济,interactive,,NPR,
0030007,3,"The Best Commencement Speeches, Ever",http://apps.npr.org/commencement/,教育,"multi-media, interactive",,NPR,
0030008,3,Planet Money Makes A T-Shirt,http://apps.npr.org/tshirt/,商业,"multi-media, interactive",,NPR,
0030009,3,"Demolished: The End Of Chicago's Public Housing",http://apps.npr.org/lookatthis/posts/publichousing/,,"multi-media, interactive",,NPR,
0030010,3,Lost and Found : The amazing story of Charles Cushman in full color,http://www.npr.org/news/specials/2012/cushman/,艺术,"multi-media, interactive",,NPR,
