"Organizationen","ID","Title","URL","Images","Author","Categories","Country","Element tag","Language tag","Publication Date","Editor Notes","Content tag","topicrange","","","","","","",""
"New York Times","0010014","The Jobless Rate for People Like You","http://www.nytimes.com/interactive/2009/11/06/business/economy/unemployment-lines.html","ID + "".jpg/.png""","","经济","US","interactive","eng","11/6/2009","","unemployment","","","","","","","",""
"New York Times","0010015","How the Chicago Public School District Compares","http://www.nytimes.com/interactive/2012/09/14/us/how-the-chicago-public-school-district-compares.html","ID + "".jpg/.png""","","教育","US","","eng","9/14/2012","","school compares","","","","","","","",""
"New York Times","0010016","How Birth Year Influences Political Views","http://www.nytimes.com/interactive/2014/07/08/upshot/how-the-year-you-were-born-influences-your-politics.html","ID + "".jpg/.png""","","政治","US","interactive, visualization","eng","7/7/2014","","political view and birth year","","","","","","","",""
"New York Times","0010017","Which Team Do You Cheer For? An N.B.A. Fan Map","http://www.nytimes.com/interactive/2014/05/12/upshot/12-upshot-nba-basketball.html","ID + "".jpg/.png""","","体育","US","map, interactive","eng","10/19/2014","","basketball","","","","","","","",""
"New York Times","0010019","Why Peyton Manning's Record Will Be Hard to Beat","http://www.nytimes.com/interactive/2014/10/19/upshot/peyton-manning-breaks-touchdown-passing-record.html?_r=0&abt=0002&abg=1","ID + "".jpg/.png""","","体育","US","interactive","eng","10/19/2014","","Peyton Manning, football","","","","","","","",""
"New York Times","0010020","Racing Against History","http://www.nytimes.com/interactive/2012/08/01/sports/olympics/racing-against-history.html?_r=0","ID + "".jpg/.png""","","体育","US","interactive","eng","8/1/2012","","men 100-meter freestyle","","","","","","","",""
"New York Times","0010021","One Race, Every Medalist Ever","http://www.nytimes.com/interactive/2012/08/05/sports/olympics/the-100-meter-dash-one-race-every-medalist-ever.html","ID + "".jpg/.png""","","体育","US","interactive","eng","8/5/2012","","men 100-meter sprint","","","","","","","",""
"New York Times","0010022","Lolo Jones, Cleared for takeoff","http://www.nytimes.com/interactive/2012/07/18/sports/olympics/lolo-jones-cleared-for-takeoff.html","ID + "".jpg/.png""","","体育","US","interactive","eng","7/17/2012","","Jones's 100-meter hurdles","","","","","","","",""
"New York Times","0010023","Connecting Music and Gesture","http://www.nytimes.com/interactive/2012/04/06/arts/music/the-connection-between-gesture-and-music.html","ID + "".jpg/.png""","","文化","US","multi-media","eng","4/6/2012","","music","","","","","","","",""
"New York Times","0010024","Inside the Quartet","http://www.nytimes.com/interactive/2014/09/22/arts/music/kronos-quartet.html?_r=2","ID + "".jpg/.png""","","文化","US","multi-media","eng","9/19/2014","","music","","","","","","","",""
"New York Times","0010025","A Cultrue of Bidding
Forging an Art Market in China","http://www.nytimes.com/projects/2013/china-art-fraud/","ID + "".jpg/.png""","","经济","US","multi-media, interactive, map","eng","10/28/2013","","art and auction market","","","","","","","",""
"New York Times","0010026","Kepler’s Tally of Planets","http://www.nytimes.com/interactive/science/space/keplers-tally-of-planets.html","ID + "".jpg/.png""","","科学","US","interactive","eng","4/18/2013","","planet","","","","","","","",""
"New York Times","0010027","Deepwater Horizon Oil Spill: An Interactive Look at What Happened","http://www.nytimes.com/interactive/us/spill_index.html?ref=us","ID + "".jpg/.png""","","环境","US","multi-media, interactive, map","eng","5/6/2010","","oil spill","","","","","","","",""
"New York Times","0010028","The Dawn Wall: El Capitan’s Most Unwelcoming Route","http://www.nytimes.com/interactive/2015/01/09/sports/the-dawn-wall-el-capitan.html","ID + "".jpg/.png""","","体育","US","3D","eng","1/9/2015","","","","","","","","","",""
"New York Times","0010029","What China Has Been Building in the South China Sea","http://www.nytimes.com/interactive/2015/07/30/world/asia/what-china-has-been-building-in-the-south-china-sea.html","ID + "".jpg/.png""","","政治","US","map, multimedia","eng","7/30/2015","","","","","","","","","",""
"New York Times","0010030","Desperate crossing","http://www.nytimes.com/interactive/2015/09/03/magazine/migrants.html","ID + "".jpg/.png""","","政治","US","multimedia","eng","9/3/2015","","","","","","","","","",""
"New York Times","0010031","A gift to New York, in time for the Pope","http://www.nytimes.com/interactive/2015/09/17/nyregion/st-patricks-cathedral-pope-francis-visit.html","ID + "".jpg/.png""","","宗教","US","illustration","eng","9/17/2015","","","","","","","","","",""
"New York Times","0010032","A New Whitney","http://www.nytimes.com/interactive/2015/04/19/arts/artsspecial/new-whitney-museum.html","ID + "".jpg/.png""","","艺术","US","3D","eng","4/19/2015","","","","","","","","","",""
"New York Times","0010033","The Families Funding the 2016 Presidential Election","http://www.nytimes.com/interactive/2015/10/11/us/politics/2016-presidential-election-super-pac-donors.html","ID + "".jpg/.png""","","政治","US","long form","eng","10/11/2015","","","","","","","","","",""
"New York Times","0010034","Greenland is melting away","http://www.nytimes.com/interactive/2015/10/27/world/greenland-is-melting-away.html","ID + "".jpg/.png""","","环境","US","multi-media, long form","eng","10/27/2015","","","","","","","","","",""
"New York Times","0010035","Dear Architects, sound matters","http://www.nytimes.com/interactive/2015/12/29/arts/design/sound-architecture.html","ID + "".jpg/.png""","","技术","US","multi-media, long form","eng","","","","","","","","","","",""
"New York Times","0010036","Stream of Foreign Wealth Flows to Elite New York Real Estate","http://www.nytimes.com/2015/02/08/nyregion/stream-of-foreign-wealth-flows-to-time-warner-condos.html","ID + "".jpg/.png""","","商业","US","3D, multi-media","eng","","","","","","","","","","",""
"New York Times","0010037","Ten years after Katrina","http://www.nytimes.com/interactive/2015/08/26/us/ten-years-after-katrina.html","ID + "".jpg/.png""","","灾害","US","map, long form","eng","","","","","","","","","","",""
"New York Times","0010038","The Best and Worst Places to Grow Up: How Your Area Compares","http://www.nytimes.com/interactive/2015/05/03/upshot/the-best-and-worst-places-to-grow-up-how-your-area-compares.html","ID + "".jpg/.png""","","政治","US","map, interactive","eng","","","","","","","","","","",""
"New York Times","0010039","Are you receiving a marriage bonus or penalty","http://www.nytimes.com/interactive/2015/04/16/upshot/marriage-penalty-couples-income.html","ID + "".jpg/.png""","","经济","US","interactive","eng","","","","","","","","","","",""
"New York Times","0010040","How gun trafficking gets around state laws","http://www.nytimes.com/interactive/2015/11/12/us/gun-traffickers-smuggling-state-gun-laws.html","ID + "".jpg/.png""","","政治","US","map","eng","","","","","","","","","","",""
"New York Times","0010041","You draw it: how family income predicts children's college chances","http://www.nytimes.com/interactive/2015/05/28/upshot/you-draw-it-how-family-income-affects-childrens-college-chances.html","ID + "".jpg/.png""","","经济","US","game","eng","","","","","","","","","","",""
"New York Times","0010042","A quick puzzle to test your problem solving","http://www.nytimes.com/interactive/2015/07/03/upshot/a-quick-puzzle-to-test-your-problem-solving.html","ID + "".jpg/.png""","","文化","US","game","eng","","","","","","","","","","",""
