Organizationen,ID,Title,URL,Images,Author,Categories,Country,Element tag,Language tag,Publication Date
New York Times,0010001,512 Paths to the White House,http://www.nytimes.com/interactive/2012/11/02/us/politics/paths-to-the-white-house.html?_r=0,"ID + "".jpg/.png""",,政治,US,,eng,tk
New York Times,0010002,The Facebook Offering: How It Compares,http://www.nytimes.com/interactive/2012/05/17/business/dealbook/how-the-facebook-offering-compares.html,"ID + "".jpg/.png""",,经济,US,interactive,eng,tk
New York Times,0010003,"How the Recession Reshaped the Economy, in 255 Charts",http://www.nytimes.com/interactive/2014/06/05/upshot/how-the-recession-reshaped-the-economy-in-255-charts.html,"ID + "".jpg/.png""",,经济,US,interactive,eng,tk
New York Times,0010004,Who Will Win The Senate?,http://www.nytimes.com/newsgraphics/2014/senate-model/,"ID + "".jpg/.png""",,政治,US,interactive,eng,tk
New York Times,0010005,The Most Detailed Maps You’ll See From the Midterm Elections,http://www.nytimes.com/interactive/2014/11/04/upshot/senate-maps.html,"ID + "".jpg/.png""",,政治,US,map,eng,tk
New York Times,0010006,Four Ways to Slice Obama’s 2013 Budget Proposal,http://www.nytimes.com/interactive/2012/02/13/us/politics/2013-budget-proposal-graphic.html,"ID + "".jpg/.png""",,政治,US,"bubble, interactive",eng,tk
New York Times,0010007,The Back and Forth Over the Shutdown and Debt Ceiling,http://www.nytimes.com/interactive/2013/09/30/us/politics/the-back-and-forth-over-the-shutdown.html,"ID + "".jpg/.png""",,政治,US,timeline,eng,tk
New York Times,0010009,Snow Fall: The Avalanche at Tunnel Creek,http://www.nytimes.com/projects/2012/snow-fall/#/?part=tunnel-creek,"ID + "".jpg/.png""",,灾害,US,"multi-media,map",eng,tk
New York Times,0010010,Mapping the Spread of Drought Across the U.S.,http://www.nytimes.com/interactive/2014/upshot/mapping-the-spread-of-drought-across-the-us.html,"ID + "".jpg/.png""",,灾害,US,"map, timeline",eng,tk
New York Times,0010012,Is It Better to Rent or Buy?,http://www.nytimes.com/interactive/2014/upshot/buy-rent-calculator.html,"ID + "".jpg/.png""",,经济,US,"bar, interactive",eng,tk
